Heartbeat from system (system 1 component 0)
GLOBAL_POSITION_INT {time_boot_ms : 2324, lat : 0, lon : 0, alt : -20, relative_alt : -25, vx : 0, vy : 0, vz : 0, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 2573, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 3453, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 3703, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 3953, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 4203, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 4454, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 3, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 4703, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 7, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 4953, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 8, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5203, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 8, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5453, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 8, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5703, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 7, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5953, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 6, hdg : 34020}
