Heartbeat from system (system 1 component 0)
GLOBAL_POSITION_INT {time_boot_ms : 2297, lat : 0, lon : 0, alt : 0, relative_alt : 0, vx : 0, vy : 0, vz : 0, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 2547, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34018}
GLOBAL_POSITION_INT {time_boot_ms : 3444, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 3694, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 3944, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 4194, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34019}
GLOBAL_POSITION_INT {time_boot_ms : 4444, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 3, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 4694, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 7, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 4944, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 8, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5194, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 8, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5444, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 8, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5694, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 7, hdg : 0}
GLOBAL_POSITION_INT {time_boot_ms : 5944, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 6, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6194, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 6, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6444, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 5, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6694, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 4, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 6944, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 3, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7194, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 2, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7444, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 1, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7694, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 7944, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : 0, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8194, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8444, lat : 0, lon : 0, alt : -20, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 34020}
GLOBAL_POSITION_INT {time_boot_ms : 8694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 34041}
GLOBAL_POSITION_INT {time_boot_ms : 8944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 34182}
GLOBAL_POSITION_INT {time_boot_ms : 9194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34328}
GLOBAL_POSITION_INT {time_boot_ms : 9444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34457}
GLOBAL_POSITION_INT {time_boot_ms : 9694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34578}
GLOBAL_POSITION_INT {time_boot_ms : 9944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34690}
GLOBAL_POSITION_INT {time_boot_ms : 10194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34795}
GLOBAL_POSITION_INT {time_boot_ms : 10444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34887}
GLOBAL_POSITION_INT {time_boot_ms : 10694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 34975}
GLOBAL_POSITION_INT {time_boot_ms : 10944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35055}
GLOBAL_POSITION_INT {time_boot_ms : 11194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35128}
GLOBAL_POSITION_INT {time_boot_ms : 11444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35194}
GLOBAL_POSITION_INT {time_boot_ms : 11694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -3, hdg : 35253}
GLOBAL_POSITION_INT {time_boot_ms : 11944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35306}
GLOBAL_POSITION_INT {time_boot_ms : 12194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35353}
GLOBAL_POSITION_INT {time_boot_ms : 12444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35395}
GLOBAL_POSITION_INT {time_boot_ms : 12694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35432}
GLOBAL_POSITION_INT {time_boot_ms : 12944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35465}
GLOBAL_POSITION_INT {time_boot_ms : 13194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -2, hdg : 35494}
GLOBAL_POSITION_INT {time_boot_ms : 13444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35519}
GLOBAL_POSITION_INT {time_boot_ms : 13694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35541}
GLOBAL_POSITION_INT {time_boot_ms : 13944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35560}
GLOBAL_POSITION_INT {time_boot_ms : 14194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35577}
GLOBAL_POSITION_INT {time_boot_ms : 14444, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35591}
GLOBAL_POSITION_INT {time_boot_ms : 14694, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35603}
GLOBAL_POSITION_INT {time_boot_ms : 14944, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35615}
GLOBAL_POSITION_INT {time_boot_ms : 15194, lat : -353632621, lon : 1491652374, alt : 584090, relative_alt : -27, vx : 0, vy : 0, vz : -1, hdg : 35623}
